Province,0-10 years,10-20 years,20-30 years,30-40 years,40-50 years,50-60 years,60-70 years,70-80 years,80-90 years,90-100 years,
SiChuan,6,13,34,48,67,60,25,15,4,0,
ZheJiang,4,4,21,34,46,72,35,7,2,0,
GanSu,1,0,7,7,9,11,5,0,0,0,
AnHui,3,10,30,38,66,49,18,5,2,0,
XinJiang,0,0,0,0,0,1,0,0,0,0,
JiangXi,1,0,1,2,5,6,1,0,0,0,
ShanXi,1,3,16,20,12,5,18,5,2,0,
FuJian,0,1,3,5,3,9,2,0,0,0,
GuangXi,2,5,5,25,21,13,15,3,0,0,
ChongQing,7,10,27,74,91,71,38,19,6,0,
GuiZhou,5,14,31,29,18,17,16,4,7,0,
HeNan,14,19,76,103,139,131,48,26,14,0,
NeiMonggol,0,0,2,6,4,7,1,1,0,0,
ShaanXi,0,0,1,1,6,3,5,1,0,0,
JiangSu,2,2,19,45,29,26,21,6,1,0,
HeiLongJiang,2,2,12,29,26,44,29,5,3,0,
ShanDong,6,5,14,47,44,35,23,15,3,1,
BeiJing,0,0,1,1,0,0,0,0,0,0,
GuangDong,11,7,29,68,41,50,45,13,1,0,
TianJin,2,4,13,21,31,26,23,10,2,2,
JiLin,1,1,7,7,6,3,1,2,2,0,
HaiNan,5,3,15,31,21,40,43,10,0,1,
Hongkong,0,0,0,1,0,1,1,0,0,0,
ShangHai,0,1,4,0,2,2,0,0,0,0,
YunNan,1,2,2,3,1,2,0,1,0,0,
NingXia,3,1,3,6,1,2,1,1,0,0,
HeBei,9,17,26,70,56,52,45,14,10,0,
HuNan,2,4,9,35,36,40,16,10,3,0,
LiaoNing,3,0,18,33,19,19,11,6,3,0