Time,ConfirmCount
2020-1-4,1
2020-1-8,2
2020-1-12,2
2020-1-14,2
2020-1-15,3
2020-1-16,6
2020-1-17,15
2020-1-18,13
2020-1-19,23
2020-1-20,49
2020-1-21,50
2020-1-22,95
2020-1-23,116
2020-1-24,143
2020-1-25,173
2020-1-26,153
2020-1-27,169
2020-1-28,203
2020-1-29,179
2020-1-30,237
2020-1-31,219
2020-2-1,209
2020-2-2,230
2020-2-3,264
2020-2-4,177
2020-2-5,303
2020-2-6,208
2020-2-7,206
2020-2-8,211
2020-2-9,221
2020-2-10,167
2020-2-11,134
2020-2-12,105
2020-2-13,115
2020-2-14,102
2020-2-15,80
2020-2-16,45
2020-2-17,51
2020-2-18,36
2020-2-19,34
2020-2-20,23
2020-2-21,13
2020-2-22,4
2020-2-23,7
2020-2-24,7
2020-2-25,4
2020-2-26,7
2020-2-27,2
2020-2-28,3
2020-2-29,8
2020-3-1,1
2020-3-2,2
2020-3-3,1
2020-3-4,3
2020-3-12,1